algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.294,9543,8
MergeSort,random,10000,2.085,127146,11
MergeSort,random,100000,8.519,1639250,14
MergeSort,random,1000000,95.416,19891247,18
MergeSort,sorted,1000,0.014,4236,8
MergeSort,sorted,10000,0.161,59248,11
MergeSort,sorted,100000,1.999,744016,14
MergeSort,sorted,1000000,23.462,9071040,18
MergeSort,duplicates,1000,0.036,9295,8
MergeSort,duplicates,10000,0.367,121637,11
MergeSort,duplicates,100000,4.032,1560479,14
MergeSort,duplicates,1000000,44.569,18919312,18
QuickSort,random,1000,0.119,11487,7
QuickSort,random,10000,0.701,169445,10
QuickSort,random,100000,8.348,1957327,12
QuickSort,random,1000000,89.305,24443251,14
QuickSort,sorted,1000,0.032,10738,7
QuickSort,sorted,10000,0.386,161078,9
QuickSort,sorted,100000,4.387,2044252,11
QuickSort,sorted,1000000,46.352,25123652,14
QuickSort,duplicates,1000,0.013,4176,4
QuickSort,duplicates,10000,0.118,29889,3
QuickSort,duplicates,100000,1.164,369787,3
QuickSort,duplicates,1000000,11.207,3299533,3
QuickSelect,random,1000,0.012,4042,10
QuickSelect,random,10000,0.094,27238,13
QuickSelect,random,100000,0.912,307460,20
QuickSelect,random,1000000,10.062,3185705,29
QuickSelect,sorted,1000,0.005,3155,13
QuickSelect,sorted,10000,0.034,24677,15
QuickSelect,sorted,100000,0.410,329457,24
QuickSelect,sorted,1000000,4.465,3260969,32
QuickSelect,duplicates,1000,0.010,1967,3
QuickSelect,duplicates,10000,0.073,17057,2
QuickSelect,duplicates,100000,0.939,249977,5
QuickSelect,duplicates,1000000,9.934,2699609,5
